rank_id,fk_org_id,name,rank_order,fk_rank_type_id,kb_stripe,gr_stripe,description,full_description
1,1,WHITE,1,1,0,0,WHITE BELT,WHITE BELT
2,1,WHITE,2,2,1,0,WHITE BELT 1 STRIPE,WHITE BELT 1 KB STRIPE
3,1,WHITE,3,2,2,0,WHITE BELT 2 STRIPES,WHITE BELT 2 KB STRIPES
4,1,WHITE,4,2,3,0,WHITE BELT 3 STRIPES,WHITE BELT 3 KB STRIPES
5,1,WHITE,5,2,4,0,WHITE BELT 4 STRIPES,WHITE BELT 4 KB STRIPES
6,1,HIWHITE,6,1,0,0,HIGH WHITE BELT,HIGH WHITE BELT
7,1,HIWHITE,7,2,1,0,HIGH WHITE BELT 1 STRIPE,HIGH WHITE BELT 1 KB STRIPE
8,1,HIWHITE,8,2,2,0,HIGH WHITE BELT 2 STRIPES,HIGH WHITE BELT 2 KB STRIPES
9,1,HIWHITE,9,2,3,0,HIGH WHITE BELT 3 STRIPES,HIGH WHITE BELT 3 KB STRIPES
10,1,HIWHITE,10,2,4,0,HIGH WHITE BELT 4 STRIPES,HIGH WHITE BELT 4 KB STRIPES
11,1,LOBLUE,11,1,0,0,LOW BLUE BELT,LOW BLUE BELT
12,1,LOBLUE,12,2,1,0,LOW BLUE BELT 1 STRIPE,LOW BLUE BELT 1 KB STRIPE
13,1,LOBLUE,13,2,2,0,LOW BLUE BELT 2 STRIPES,LOW BLUE BELT 2 KB STRIPES
14,1,LOBLUE,14,2,3,0,LOW BLUE BELT 3 STRIPES,LOW BLUE BELT 3 KB STRIPES
15,1,LOBLUE,15,2,4,0,LOW BLUE BELT 4 STRIPES,LOW BLUE BELT 4 KB STRIPES
16,1,BLUE,16,1,0,0,BLUE BELT,BLUE BELT
17,1,BLUE,17,2,1,0,BLUE BELT 1 STRIPE,BLUE BELT 1 KB STRIPE
18,1,BLUE,18,2,2,0,BLUE BELT 2 STRIPES,BLUE BELT 2 KB STRIPES
19,1,BLUE,19,2,3,0,BLUE BELT 3 STRIPES,BLUE BELT 3 KB STRIPES
20,1,BLUE,20,2,4,0,BLUE BELT 4 STRIPES,BLUE BELT 4 KB STRIPES
21,1,HIBLUE,21,1,0,0,HIGH BLUE BELT,HIGH BLUE BELT
22,1,HIBLUE,22,2,1,0,HIGH BLUE BELT 1 STRIPE,HIGH BLUE BELT 1 KB STRIPE
23,1,HIBLUE,23,2,2,0,HIGH BLUE BELT 2 STRIPES,HIGH BLUE BELT 2 KB STRIPES
24,1,HIBLUE,24,2,3,0,HIGH BLUE BELT 3 STRIPES,HIGH BLUE BELT 3 KB STRIPES
25,1,HIBLUE,25,2,4,0,HIGH BLUE BELT 4 STRIPES,HIGH BLUE BELT 4 KB STRIPES
26,1,LOYELLOW,26,1,0,0,LOW YELLOW BELT,LOW YELLOW BELT
27,1,LOYELLOW,27,3,0,1,LOW YELLOW BELT 1 STRIPE,LOW YELLOW BELT 1 GR STRIPE
28,1,LOYELLOW,27,2,1,0,LOW YELLOW BELT 1 STRIPE,LOW YELLOW BELT 1 KB STRIPE
29,1,LOYELLOW,28,3,0,2,LOW YELLOW BELT 2 STRIPES,LOW YELLOW BELT 2 GR STRIPES
30,1,LOYELLOW,28,3,1,1,LOW YELLOW BELT 2 STRIPES,LOW YELLOW BELT 1 GR STRIPE 1 KB STRIPE
31,1,LOYELLOW,28,2,2,0,LOW YELLOW BELT 2 STRIPES,LOW YELLOW BELT 2 KB STRIPES
32,1,LOYELLOW,29,3,1,2,LOW YELLOW BELT 3 STRIPES,LOW YELLOW BELT 2 GR STRIPES 1 KB STRIPE
33,1,LOYELLOW,29,3,2,1,LOW YELLOW BELT 3 STRIPES,LOW YELLOW BELT 2 KB STRIPES 1 GR STRIPE
34,1,LOYELLOW,30,3,2,2,LOW YELLOW BELT 4 STRIPES,LOW YELLOW BELT 2 KB STRIPES 2 GR STRIPES
35,1,YELLOW,31,1,0,0,YELLOW BELT,YELLOW BELT
36,1,YELLOW,32,3,0,1,YELLOW BELT 1 STRIPE,YELLOW BELT 1 GR STRIPE
37,1,YELLOW,32,2,1,0,YELLOW BELT 1 STRIPE,YELLOW BELT 1 KB STRIPE
38,1,YELLOW,33,3,0,2,YELLOW BELT 2 STRIPES,YELLOW BELT 2 GR STRIPES
39,1,YELLOW,33,3,1,1,YELLOW BELT 2 STRIPES,YELLOW BELT 1 GR STRIPE 1 KB STRIPE
40,1,YELLOW,33,2,2,0,YELLOW BELT 2 STRIPES,YELLOW BELT 2 KB STRIPES
41,1,YELLOW,34,3,1,2,YELLOW BELT 3 STRIPES,YELLOW BELT 2 GR STRIPES 1 KB STRIPE
42,1,YELLOW,34,3,2,1,YELLOW BELT 3 STRIPES,YELLOW BELT 2 KB STRIPES 1 GR STRIPE
43,1,YELLOW,35,2,2,2,YELLOW BELT 4 STRIPES,YELLOW BELT 2 KB STRIPES 2 GR STRIPES
44,1,HIYELLOW,36,1,0,0,HIGH YELLOW BELT,HIGH YELLOW BELT
45,1,HIYELLOW,37,3,0,1,HIGH YELLOW BELT 1 STRIPE,HIGH YELLOW BELT 1 GR STRIPE
46,1,HIYELLOW,37,2,1,0,HIGH YELLOW BELT 1 STRIPE,HIGH YELLOW BELT 1 KB STRIPE
47,1,HIYELLOW,38,3,0,2,HIGH YELLOW BELT 2 STRIPES,HIGH YELLOW BELT 2 GR STRIPES
48,1,HIYELLOW,38,3,1,1,HIGH YELLOW BELT 2 STRIPES,HIGH YELLOW BELT 1 GR STRIPE 1 KB STRIPE
49,1,HIYELLOW,38,2,2,0,HIGH YELLOW BELT 2 STRIPES,HIGH YELLOW BELT 2 KB STRIPES
50,1,HIYELLOW,39,3,1,2,HIGH YELLOW BELT 3 STRIPES,HIGH YELLOW BELT 2 GR STRIPES 1 KB STRIPE
51,1,HIYELLOW,39,3,2,1,HIGH YELLOW BELT 3 STRIPES,HIGH YELLOW BELT 2 KB STRIPES 1 GR STRIPE
52,1,HIYELLOW,40,3,2,2,HIGH YELLOW BELT 4 STRIPES,HIGH YELLOW BELT 2 KB STRIPES 2 GR STRIPES
53,1,LOGREEN,41,1,0,0,LOW GREEN BELT,LOW GREEN BELT
54,1,LOGREEN,42,3,0,1,LOW GREEN BELT 1 STRIPE,LOW GREEN BELT 1 GR STRIPE
55,1,LOGREEN,42,2,1,0,LOW GREEN BELT 1 STRIPE,LOW GREEN BELT 1 KB STRIPE
56,1,LOGREEN,43,3,0,2,LOW GREEN BELT 2 STRIPES,LOW GREEN BELT 2 GR STRIPES
57,1,LOGREEN,43,3,1,1,LOW GREEN BELT 2 STRIPES,LOW GREEN BELT 1 GR STRIPE 1 KB STRIPE
58,1,LOGREEN,43,2,2,0,LOW GREEN BELT 2 STRIPES,LOW GREEN BELT 2 KB STRIPES
59,1,LOGREEN,44,3,1,2,LOW GREEN BELT 3 STRIPES,LOW GREEN BELT 2 GR STRIPES 1 KB STRIPE
60,1,LOGREEN,44,2,2,1,LOW GREEN BELT 3 STRIPES,LOW GREEN BELT 2 KB STRIPES 1 GR STRIPE
61,1,LOGREEN,45,3,2,2,LOW GREEN BELT 4 STRIPES,LOW GREEN BELT 2 KB STRIPES 2 GR STRIPES
62,1,GREEN,46,1,0,0,GREEN BELT,GREEN BELT
63,1,GREEN,47,3,0,1,GREEN BELT 1 STRIPE,GREEN BELT 1 GR STRIPE
64,1,GREEN,47,2,1,0,GREEN BELT 1 STRIPE,GREEN BELT 1 KB STRIPE
65,1,GREEN,48,3,0,2,GREEN BELT 2 STRIPES,GREEN BELT 2 GR STRIPES
66,1,GREEN,48,3,1,1,GREEN BELT 2 STRIPES,GREEN BELT 1 GR STRIPE 1 KB STRIPE
67,1,GREEN,48,2,2,0,GREEN BELT 2 STRIPES,GREEN BELT 2 KB STRIPES
68,1,GREEN,49,3,1,2,GREEN BELT 3 STRIPES,GREEN BELT 2 GR STRIPES 1 KB STRIPE
69,1,GREEN,49,2,2,1,GREEN BELT 3 STRIPES,GREEN BELT 2 KB STRIPES 1 GR STRIPE
70,1,GREEN,50,3,2,2,GREEN BELT 4 STRIPES,GREEN BELT 2 KB STRIPES 2 GR STRIPES
71,1,HIGREEN,51,1,0,0,HIGH GREEN BELT,HIGH GREEN BELT
72,1,HIGREEN,52,3,0,1,HIGH GREEN BELT 1 STRIPE,HIGH GREEN BELT 1 GR STRIPE
73,1,HIGREEN,52,2,1,0,HIGH GREEN BELT 1 STRIPE,HIGH GREEN BELT 1 KB STRIPE
74,1,HIGREEN,53,3,0,2,HIGH GREEN BELT 2 STRIPES,HIGH GREEN BELT 2 GR STRIPES
75,1,HIGREEN,53,3,1,1,HIGH GREEN BELT 2 STRIPES,HIGH GREEN BELT 1 GR STRIPE 1 KB STRIPE
76,1,HIGREEN,53,2,2,0,HIGH GREEN BELT 2 STRIPES,HIGH GREEN BELT 2 KB STRIPES
77,1,HIGREEN,54,2,1,2,HIGH GREEN BELT 3 STRIPES,HIGH GREEN BELT 2 GR STRIPES 1 KB STRIPE
78,1,HIGREEN,54,3,2,1,HIGH GREEN BELT 3 STRIPES,HIGH GREEN BELT 2 KB STRIPES 1 GR STRIPE
79,1,HIGREEN,55,3,2,2,HIGH GREEN BELT 4 STRIPES,HIGH GREEN BELT 2 KB STRIPES 2 GR STRIPES
80,1,LORED,56,1,0,0,LOW RED BELT,LOW RED BELT
81,1,LORED,57,3,0,1,LOW RED BELT 1 STRIPE,LOW RED BELT 1 GR STRIPE
82,1,LORED,57,2,1,0,LOW RED BELT 1 STRIPE,LOW RED BELT 1 KB STRIPE
83,1,LORED,58,3,0,2,LOW RED BELT 2 STRIPES,LOW RED BELT 2 GR STRIPES
84,1,LORED,58,3,1,1,LOW RED BELT 2 STRIPES,LOW RED BELT 1 GR STRIPE 1 KB STRIPE
85,1,LORED,58,2,2,0,LOW RED BELT 2 STRIPES,LOW RED BELT 2 KB STRIPES
86,1,LORED,59,3,1,2,LOW RED BELT 3 STRIPES,LOW RED BELT 2 GR STRIPES 1 KB STRIPE
87,1,LORED,59,2,2,1,LOW RED BELT 3 STRIPES,LOW RED BELT 2 KB STRIPES 1 GR STRIPE
88,1,LORED,60,3,2,2,LOW RED BELT 4 STRIPES,LOW RED BELT 2 KB STRIPES 2 GR STRIPES
89,1,RED,61,1,0,0,RED BELT,RED BELT
90,1,RED,62,3,0,1,RED BELT 1 STRIPE,RED BELT 1 GR STRIPE
91,1,RED,62,2,1,0,RED BELT 1 STRIPE,RED BELT 1 KB STRIPE
92,1,RED,63,3,0,2,RED BELT 2 STRIPES,RED BELT 2 GR STRIPES
93,1,RED,63,3,1,1,RED BELT 2 STRIPES,RED BELT 1 GR STRIPE 1 KB STRIPE
94,1,RED,63,2,2,0,RED BELT 2 STRIPES,RED BELT 2 KB STRIPES
95,1,RED,64,2,1,2,RED BELT 3 STRIPES,RED BELT 2 GR STRIPES 1 KB STRIPE
96,1,RED,64,3,2,1,RED BELT 3 STRIPES,RED BELT 2 KB STRIPES 1 GR STRIPE
97,1,RED,65,2,2,2,RED BELT 4 STRIPES,RED BELT 2 KB STRIPES 2 GR STRIPES
98,1,HIRED,66,1,0,0,HIGH RED BELT,HIGH RED BELT
99,1,HIRED,67,3,0,1,HIGH RED BELT 1 STRIPE,HIGH RED BELT 1 GR STRIPE
100,1,HIRED,67,2,1,0,HIGH RED BELT 1 STRIPE,HIGH RED BELT 1 KB STRIPE
101,1,HIRED,68,3,0,2,HIGH RED BELT 2 STRIPES,HIGH RED BELT 2 GR STRIPES
102,1,HIRED,68,3,1,1,HIGH RED BELT 2 STRIPES,HIGH RED BELT 1 GR STRIPE 1 KB STRIPE
103,1,HIRED,68,2,2,0,HIGH RED BELT 2 STRIPES,HIGH RED BELT 2 KB STRIPES
104,1,HIRED,69,3,1,2,HIGH RED BELT 3 STRIPES,HIGH RED BELT 2 GR STRIPES 1 KB STRIPE
105,1,HIRED,69,2,2,1,HIGH RED BELT 3 STRIPES,HIGH RED BELT 2 KB STRIPES 1 GR STRIPE
106,1,HIRED,70,3,2,2,HIGH RED BELT 4 STRIPES,HIGH RED BELT 2 KB STRIPES 2 GR STRIPES
107,1,LOBROWN,71,1,0,0,LOW BROWN BELT,LOW BROWN BELT
108,1,LOBROWN,72,3,0,1,LOW BROWN BELT 1 STRIPE,LOW BROWN BELT 1 GR STRIPE
109,1,LOBROWN,72,2,1,0,LOW BROWN BELT 1 STRIPE,LOW BROWN BELT 1 KB STRIPE
110,1,LOBROWN,73,3,0,2,LOW BROWN BELT 2 STRIPES,LOW BROWN BELT 2 GR STRIPES
111,1,LOBROWN,73,3,1,1,LOW BROWN BELT 2 STRIPES,LOW BROWN BELT 1 GR STRIPE 1 KB STRIPE
112,1,LOBROWN,73,2,2,0,LOW BROWN BELT 2 STRIPES,LOW BROWN BELT 2 KB STRIPES
113,1,LOBROWN,74,3,1,2,LOW BROWN BELT 3 STRIPES,LOW BROWN BELT 2 GR STRIPES 1 KB STRIPE
114,1,LOBROWN,74,2,2,1,LOW BROWN BELT 3 STRIPES,LOW BROWN BELT 2 KB STRIPES 1 GR STRIPE
115,1,LOBROWN,75,3,2,2,LOW BROWN BELT 4 STRIPES,LOW BROWN BELT 2 KB STRIPES 2 GR STRIPES
116,1,BROWN,76,1,0,0,BROWN BELT,BROWN BELT
117,1,BROWN,77,3,0,1,BROWN BELT 1 STRIPE,BROWN BELT 1 GR STRIPE
118,1,BROWN,77,2,1,0,BROWN BELT 1 STRIPE,BROWN BELT 1 KB STRIPE
119,1,BROWN,78,3,0,2,BROWN BELT 2 STRIPES,BROWN BELT 2 GR STRIPES
120,1,BROWN,78,3,1,1,BROWN BELT 2 STRIPES,BROWN BELT 1 GR STRIPE 1 KB STRIPE
121,1,BROWN,78,2,2,0,BROWN BELT 2 STRIPES,BROWN BELT 2 KB STRIPES
122,1,BROWN,79,3,1,2,BROWN BELT 3 STRIPES,BROWN BELT 2 GR STRIPES 1 KB STRIPE
123,1,BROWN,79,2,2,1,BROWN BELT 3 STRIPES,BROWN BELT 2 KB STRIPES 1 GR STRIPE
124,1,BROWN,80,3,2,2,BROWN BELT 4 STRIPES,BROWN BELT 2 KB STRIPES 2 GR STRIPES
125,1,HIBROWN,81,1,0,0,HIGH BROWN BELT,HIGH BROWN BELT
126,1,HIBROWN,82,3,0,1,HIGH BROWN BELT 1 STRIPE,HIGH BROWN BELT 1 GR STRIPE
127,1,HIBROWN,82,2,1,0,HIGH BROWN BELT 1 STRIPE,HIGH BROWN BELT 1 KB STRIPE
128,1,HIBROWN,83,3,0,2,HIGH BROWN BELT 2 STRIPES,HIGH BROWN BELT 2 GR STRIPES
129,1,HIBROWN,83,3,1,1,HIGH BROWN BELT 2 STRIPES,HIGH BROWN BELT 1 GR STRIPE 1 KB STRIPE
130,1,HIBROWN,83,2,2,0,HIGH BROWN BELT 2 STRIPES,HIGH BROWN BELT 2 KB STRIPES
131,1,HIBROWN,84,3,1,2,HIGH BROWN BELT 3 STRIPES,HIGH BROWN BELT 2 GR STRIPES 1 KB STRIPE
132,1,HIBROWN,84,2,2,1,HIGH BROWN BELT 3 STRIPES,HIGH BROWN BELT 2 KB STRIPES 1 GR STRIPE
133,1,HIBROWN,85,3,2,2,HIGH BROWN BELT 4 STRIPES,HIGH BROWN BELT 2 KB STRIPES 2 GR STRIPES
134,1,1ST,86,1,0,0,1ST DEGREE BLACK BELT,1ST DEGREE BLACK BELT
135,1,2ND,87,1,0,0,2ND DEGREE BLACK BELT,2ND DEGREE BLACK BELT
136,1,3RD,88,1,0,0,3RD DEGREE BLACK BELT,3RD DEGREE BLACK BELT
137,1,4TH,89,1,0,0,4TH DEGREE BLACK BELT,4TH DEGREE BLACK BELT
138,1,5TH,90,1,0,0,5TH DEGREE BLACK BELT,5TH DEGREE BLACK BELT
